Title,nombre_jornada,Recintos,Date,Status
"Álvares Jara &#8211; Álvarez Velez vs Ponce - Unda","Fecha 12","Conecta Santa Blanca>Cancha 11",19-06-26,future
"Vogel &#8211; Silva vs Romero - Merino","Fecha 12","Conecta Santa Blanca>Cancha 12",19-06-26,future
"Amaro Castro &#8211; Arance Ibieta vs Montaner Reyes - Montaner Covarrubias","Fecha 12","Conecta Santa Blanca>Cancha 13",19-06-26,future
"Vargas &#8211; Diaz vs Hurtado Sotomayor - Martínez Cuadro","Fecha 13","Conecta Santa Blanca>Cancha 5",26-06-26,future
"Vidal &#8211; Benítez vs Freyre - Brosky","Fecha 13","Conecta Santa Blanca>Cancha 6",26-06-26,future
"Vera &#8211; Viel vs Botero Piedrahita - Verástegui","Fecha 13","Conecta Santa Blanca>Cancha 7",26-06-26,future
"Valenzuela Niedbalski &#8211; Garcia vs Martiz - Kattan","Fecha 13","Conecta Santa Blanca>Cancha 8",26-06-26,future
"Romero Duarte &#8211; Valenzuela vs Sica - Pizarro","Fecha 13","Conecta Santa Blanca>Cancha 9",26-06-26,future
"Giusti &#8211; Rivera vs Ponce - Unda","Fecha 13","Conecta Santa Blanca>Cancha 10",26-06-26,future
"Eyzaguirre &#8211; Casasempere vs Romero - Merino","Fecha 13","Conecta Santa Blanca>Cancha 11",26-06-26,future
"Álvares Jara &#8211; Álvarez Velez vs Montaner Reyes - Montaner Covarrubias","Fecha 13","Conecta Santa Blanca>Cancha 12",26-06-26,future
"Vogel &#8211; Silva vs Amaro Castro - Arance Ibieta","Fecha 13","Conecta Santa Blanca>Cancha 13",26-06-26,future
"Sfeir &#8211; Amigo vs Freyre - Brosky","Fecha 14","Conecta Santa Blanca>Cancha 5",03-07-26,future
"Vargas &#8211; Diaz vs Botero Piedrahita - Verástegui","Fecha 14","Conecta Santa Blanca>Cancha 6",03-07-26,future
"Vidal &#8211; Benítez vs Martiz - Kattan","Fecha 14","Conecta Santa Blanca>Cancha 7",03-07-26,future
"Vera &#8211; Viel vs Sica - Pizarro","Fecha 14","Conecta Santa Blanca>Cancha 8",03-07-26,future
"Valenzuela Niedbalski &#8211; Garcia vs Ponce - Unda","Fecha 14","Conecta Santa Blanca>Cancha 9",03-07-26,future
"Romero Duarte &#8211; Valenzuela vs Romero - Merino","Fecha 14","Conecta Santa Blanca>Cancha 10",03-07-26,future
"Giusti &#8211; Rivera vs Montaner Reyes - Montaner Covarrubias","Fecha 14","Conecta Santa Blanca>Cancha 11",03-07-26,future
"Eyzaguirre &#8211; Casasempere vs Amaro Castro - Arance Ibieta","Fecha 14","Conecta Santa Blanca>Cancha 12",03-07-26,future
"Álvares Jara &#8211; Álvarez Velez vs Vogel - Silva","Fecha 14","Conecta Santa Blanca>Cancha 13",03-07-26,future
"Hurtado Sotomayor &#8211; Martínez Cuadro vs Botero Piedrahita - Verástegui","Fecha 15","Conecta Santa Blanca>Cancha 5",10-07-26,future
"Sfeir &#8211; Amigo vs Martiz - Kattan","Fecha 15","Conecta Santa Blanca>Cancha 6",10-07-26,future
"Vargas &#8211; Diaz vs Sica - Pizarro","Fecha 15","Conecta Santa Blanca>Cancha 7",10-07-26,future
"Vidal &#8211; Benítez vs Ponce - Unda","Fecha 15","Conecta Santa Blanca>Cancha 8",10-07-26,future
"Vera &#8211; Viel vs Romero - Merino","Fecha 15","Conecta Santa Blanca>Cancha 9",10-07-26,future
